Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.010897,1.09E-05,6.56E+15,0.13042,0.0047425,0.059406,0.021565,0.0034488,0.02096
0.010981,1.10E-05,6.62E+15,0.12973,0.0044537,0.059325,0.021519,0.0034161,0.021217
0.011058,1.11E-05,6.66E+15,0.12917,0.0042788,0.06062,0.02166,0.00349,0.020919
0.01114,1.11E-05,6.71E+15,0.12936,0.0044761,0.059685,0.022042,0.003547,0.021131
0.011223,1.12E-05,6.76E+15,0.12882,0.0042886,0.058213,0.022066,0.0033683,0.021007
0.011303,1.13E-05,6.81E+15,0.1299,0.0044632,0.058867,0.022549,0.0033268,0.0207
0.011389,1.14E-05,6.86E+15,0.1278,0.0042868,0.06159,0.021698,0.0034445,0.020588
0.011474,1.15E-05,6.91E+15,0.12733,0.004374,0.05981,0.021698,0.0034511,0.020313
0.011553,1.16E-05,6.96E+15,0.12866,0.0043577,0.059162,0.021188,0.0033164,0.020625
0.011635,1.16E-05,7.01E+15,0.12795,0.0043207,0.059872,0.021979,0.0034786,0.020643
0.011711,1.17E-05,7.05E+15,0.1288,0.0043859,0.05887,0.022752,0.0030721,0.020085
0.011788,1.18E-05,7.10E+15,0.12737,0.0042314,0.058377,0.022527,0.0033904,0.020374
0.011868,1.19E-05,7.15E+15,0.12772,0.0044087,0.05996,0.021755,0.0031892,0.020445
0.011955,1.20E-05,7.20E+15,0.12675,0.0043834,0.058466,0.021003,0.0034721,0.020392
0.012032,1.20E-05,7.25E+15,0.12705,0.0041157,0.059187,0.021747,0.0035219,0.020432
0.01211,1.21E-05,7.30E+15,0.12704,0.0041262,0.059923,0.02128,0.0035124,0.020355
0.012188,1.22E-05,7.34E+15,0.1275,0.0043018,0.058331,0.020788,0.0033146,0.020041
0.012267,1.23E-05,7.39E+15,0.12621,0.0041936,0.059926,0.02119,0.003195,0.020142
0.012347,1.23E-05,7.44E+15,0.12649,0.0043833,0.056912,0.021752,0.0033459,0.020028
0.012427,1.24E-05,7.49E+15,0.12539,0.0041875,0.059147,0.022151,0.0032416,0.020035
